id,title,year,km,price,date,url
60286189.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,88000,32600,2025-04-15,
60324413.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,100000,29990,2025-04-15,
60307597.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,104667,33490,2025-04-15,
60301840.0,SEAT Alhambra 2.0 TDI Eco SS Style GO,2021,70000,25900,2025-04-15,
60148688.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,97298,25990,2025-04-15,
60160864.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,76000,29999,2025-04-15,
60005027.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,85858,29700,2025-04-15,
60040028.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,110000,31900,2025-04-15,
58303799.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,91350,29990,2025-04-15,
60209620.0,VOLKSWAGEN Sharan Edition 2.0 TDI DSG,2020,93696,27490,2025-04-15,
60200721.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,120000,23450,2025-04-15,
59928979.0,VOLKSWAGEN Sharan 1 Million 2.0 TDI DSG,2020,82938,36990,2025-04-15,
59662850.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,105932,20490,2025-04-15,
59763029.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,105000,29990,2025-04-15,
60094939.0,SEAT Alhambra 2.0 TDI Eco SS Style Trav,2020,98683,25495,2025-04-15,
59426055.0,SEAT Alhambra 2.0 TDI Eco SS Style Travel Ed,2021,71500,28800,2025-04-15,
59961059.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,118000,26790,2025-04-15,
59766760.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,58000,37995,2025-04-15,
59953546.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,91500,28500,2025-04-15,
60347952.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,41239,28990,2025-04-16,
59714928.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99900,27900,2025-04-16,
60138690.0,SEAT Alhambra 2.0 TDI Eco SS Style,2021,110000,24500,2025-04-16,
59666943.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99593,28990,2025-04-16,
59635734.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,98000,29990,2025-04-16,
60173314.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,56363,25490,2025-04-16,
60325993.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,41239,28990,2025-04-16,
60286189.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,88000,32600,2025-04-16,
60324413.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,100000,29990,2025-04-16,
60307597.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,104667,33470,2025-04-16,
60301840.0,SEAT Alhambra 2.0 TDI Eco SS Style GO,2021,70000,25900,2025-04-16,
60148688.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,97298,25890,2025-04-16,
60160864.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,76000,29999,2025-04-16,
60005027.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,85858,29700,2025-04-16,
60040028.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,110000,31900,2025-04-16,
58303799.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,91350,29990,2025-04-16,
60209620.0,VOLKSWAGEN Sharan Edition 2.0 TDI DSG,2020,93696,27490,2025-04-16,
60200721.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,120000,23450,2025-04-16,
59928979.0,VOLKSWAGEN Sharan 1 Million 2.0 TDI DSG,2020,82938,36990,2025-04-16,
59662850.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,105932,20490,2025-04-16,
59763029.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,105000,29990,2025-04-16,
60094939.0,SEAT Alhambra 2.0 TDI Eco SS Style Trav,2020,98683,25495,2025-04-16,
59426055.0,SEAT Alhambra 2.0 TDI Eco SS Style Travel Ed,2021,71500,28800,2025-04-16,
59961059.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,118000,26790,2025-04-16,
59766760.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,58000,37995,2025-04-16,
59953546.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,91500,28500,2025-04-16,
60347952.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,41239,28990,2025-04-17,
59714928.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99900,27900,2025-04-17,
60138690.0,SEAT Alhambra 2.0 TDI Eco SS Style,2021,110000,24500,2025-04-17,
